,account_item,contextRef,format,decimals,scale,unitRef,amount,temp_label
0,tse-ed-t:NetSales,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,31706000000,NetSales
1,tse-ed-t:ChangeInNetSales,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,3,-2,,0.012,ChangeInNetSales
2,tse-ed-t:OperatingIncome,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,2270000000,OperatingIncome
3,tse-ed-t:ChangeInOperatingIncome,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,3,-2,,0.029,ChangeInOperatingIncome
4,tse-ed-t:OrdinaryIncome,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,2222000000,OrdinaryIncome
5,tse-ed-t:ChangeInOrdinaryIncome,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,3,-2,,0.015,ChangeInOrdinaryIncome
6,tse-ed-t:ProfitAttributableToOwnersOfParent,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,1346000000,ProfitAttributableToOwnersOfParent
7,tse-ed-t:ChangeInProfitAttributableToOwnersOfParent,CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,3,-2,,0.023,ChangeInProfitAttributableToOwnersOfParent
8,tse-ed-t:NetSales,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,31316000000,NetSales
9,tse-ed-t:ChangeInNetSales,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,,,,,,ChangeInNetSales
10,tse-ed-t:OperatingIncome,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,2205000000,OperatingIncome
11,tse-ed-t:ChangeInOperatingIncome,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,,,,,,ChangeInOperatingIncome
12,tse-ed-t:OrdinaryIncome,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,2189000000,OrdinaryIncome
13,tse-ed-t:ChangeInOrdinaryIncome,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,,,,,,ChangeInOrdinaryIncome
14,tse-ed-t:ProfitAttributableToOwnersOfParent,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,ixt:numdotdecimal,-6,6,,1315000000,ProfitAttributableToOwnersOfParent
15,tse-ed-t:ChangeInProfitAttributableToOwnersOfParent,PriorAccumulatedQ2Duration_ConsolidatedMember_ResultMember,,,,,,ChangeInProfitAttributableToOwnersOfParent
