,type,from,to,arcrole,order,weight
0,arc,jppfs_cor_Assets,jppfs_cor_CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,1,1
1,arc,jppfs_cor_Assets,jppfs_cor_NoncurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,2,1
2,arc,jppfs_cor_Assets,jppfs_cor_DeferredAssets,http://www.xbrl.org/2003/arcrole/summation-item,3,1
3,arc,jppfs_cor_CurrentAssets,jppfs_cor_CashAndDeposits,http://www.xbrl.org/2003/arcrole/summation-item,1,1
4,arc,jppfs_cor_CurrentAssets,jppfs_cor_NotesAndAccountsReceivableTradeAndContractAssets,http://www.xbrl.org/2003/arcrole/summation-item,2,1
5,arc,jppfs_cor_CurrentAssets,jppfs_cor_Merchandise,http://www.xbrl.org/2003/arcrole/summation-item,3,1
6,arc,jppfs_cor_CurrentAssets,jppfs_cor_OtherCA,http://www.xbrl.org/2003/arcrole/summation-item,4,1
7,arc,jppfs_cor_CurrentAssets,jppfs_cor_AllowanceForDoubtfulAccountsCA,http://www.xbrl.org/2003/arcrole/summation-item,5,1
8,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_IncomeTaxesPayable,http://www.xbrl.org/2003/arcrole/summation-item,1,1
9,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_ContractLiabilities,http://www.xbrl.org/2003/arcrole/summation-item,2,1
10,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_ProvisionForBonuses,http://www.xbrl.org/2003/arcrole/summation-item,3,1
11,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_ProvisionForDirectorsBonuses,http://www.xbrl.org/2003/arcrole/summation-item,4,1
12,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_ProvisionForLossOnOrderReceivedCL,http://www.xbrl.org/2003/arcrole/summation-item,5,1
13,arc,jppfs_cor_CurrentLiabilities,tse-qcedjpfr-47260_ProvisionForDefectRepairCL,http://www.xbrl.org/2003/arcrole/summation-item,6,1
14,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_AssetRetirementObligationsCL,http://www.xbrl.org/2003/arcrole/summation-item,7,1
15,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_OtherCL,http://www.xbrl.org/2003/arcrole/summation-item,8,1
16,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_AccountsPayableTrade,http://www.xbrl.org/2003/arcrole/summation-item,9,1
17,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_CurrentPortionOfLongTermLoansPayable,http://www.xbrl.org/2003/arcrole/summation-item,10,1
18,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_LeaseObligationsCL,http://www.xbrl.org/2003/arcrole/summation-item,11,1
19,arc,jppfs_cor_CurrentLiabilities,jppfs_cor_AccountsPayableOther,http://www.xbrl.org/2003/arcrole/summation-item,12,1
20,arc,jppfs_cor_DeferredAssets,jppfs_cor_StockIssuanceCostDA,http://www.xbrl.org/2003/arcrole/summation-item,1,1
21,arc,jppfs_cor_IntangibleAssets,jppfs_cor_Goodwill,http://www.xbrl.org/2003/arcrole/summation-item,1,1
22,arc,jppfs_cor_IntangibleAssets,jppfs_cor_Software,http://www.xbrl.org/2003/arcrole/summation-item,2,1
23,arc,jppfs_cor_IntangibleAssets,jppfs_cor_SoftwareInProgress,http://www.xbrl.org/2003/arcrole/summation-item,3,1
24,arc,jppfs_cor_IntangibleAssets,tse-qcedjpfr-47260_CustomerRelationshipsIA,http://www.xbrl.org/2003/arcrole/summation-item,4,1
25,arc,jppfs_cor_IntangibleAssets,jppfs_cor_OtherIA,http://www.xbrl.org/2003/arcrole/summation-item,5,1
26,arc,jppfs_cor_NoncurrentAssets,jppfs_cor_InvestmentsAndOtherAssets,http://www.xbrl.org/2003/arcrole/summation-item,3,1
27,arc,jppfs_cor_InvestmentsAndOtherAssets,jppfs_cor_InvestmentSecurities,http://www.xbrl.org/2003/arcrole/summation-item,1,1
28,arc,jppfs_cor_InvestmentsAndOtherAssets,jppfs_cor_DeferredTaxAssets,http://www.xbrl.org/2003/arcrole/summation-item,2,1
29,arc,jppfs_cor_InvestmentsAndOtherAssets,jppfs_cor_OtherIOA,http://www.xbrl.org/2003/arcrole/summation-item,3,1
30,arc,jppfs_cor_LiabilitiesAndNetAssets,jppfs_cor_Liabilities,http://www.xbrl.org/2003/arcrole/summation-item,1,1
31,arc,jppfs_cor_Liabilities,jppfs_cor_CurrentLiabilities,http://www.xbrl.org/2003/arcrole/summation-item,1,1
32,arc,jppfs_cor_Liabilities,jppfs_cor_NoncurrentLiabilities,http://www.xbrl.org/2003/arcrole/summation-item,2,1
33,arc,jppfs_cor_LiabilitiesAndNetAssets,jppfs_cor_NetAssets,http://www.xbrl.org/2003/arcrole/summation-item,2,1
34,arc,jppfs_cor_NetAssets,jppfs_cor_ShareholdersEquity,http://www.xbrl.org/2003/arcrole/summation-item,1,1
35,arc,jppfs_cor_NetAssets,jppfs_cor_ValuationAndTranslationAdjustments,http://www.xbrl.org/2003/arcrole/summation-item,2,1
36,arc,jppfs_cor_NetAssets,jppfs_cor_SubscriptionRightsToShares,http://www.xbrl.org/2003/arcrole/summation-item,3,1
37,arc,jppfs_cor_NetAssets,jppfs_cor_NonControllingInterests,http://www.xbrl.org/2003/arcrole/summation-item,4,1
38,arc,jppfs_cor_NoncurrentAssets,jppfs_cor_PropertyPlantAndEquipment,http://www.xbrl.org/2003/arcrole/summation-item,1,1
39,arc,jppfs_cor_NoncurrentAssets,jppfs_cor_IntangibleAssets,http://www.xbrl.org/2003/arcrole/summation-item,2,1
40,arc,jppfs_cor_NoncurrentLiabilities,jppfs_cor_LeaseObligationsNCL,http://www.xbrl.org/2003/arcrole/summation-item,1,1
41,arc,jppfs_cor_NoncurrentLiabilities,jppfs_cor_DeferredTaxLiabilities,http://www.xbrl.org/2003/arcrole/summation-item,2,1
42,arc,jppfs_cor_NoncurrentLiabilities,jppfs_cor_NetDefinedBenefitLiability,http://www.xbrl.org/2003/arcrole/summation-item,3,1
43,arc,jppfs_cor_NoncurrentLiabilities,jppfs_cor_AssetRetirementObligationsNCL,http://www.xbrl.org/2003/arcrole/summation-item,4,1
44,arc,jppfs_cor_NoncurrentLiabilities,jppfs_cor_OtherNCL,http://www.xbrl.org/2003/arcrole/summation-item,5,1
45,arc,jppfs_cor_NoncurrentLiabilities,tse-qcedjpfr-47260_ContractLiabilitiesNCL,http://www.xbrl.org/2003/arcrole/summation-item,6,1
46,arc,jppfs_cor_NoncurrentLiabilities,jppfs_cor_LongTermLoansPayable,http://www.xbrl.org/2003/arcrole/summation-item,7,1
47,arc,jppfs_cor_PropertyPlantAndEquipment,jppfs_cor_BuildingsNet,http://www.xbrl.org/2003/arcrole/summation-item,1,1
48,arc,jppfs_cor_PropertyPlantAndEquipment,jppfs_cor_ToolsFurnitureAndFixturesNet,http://www.xbrl.org/2003/arcrole/summation-item,2,1
49,arc,jppfs_cor_PropertyPlantAndEquipment,jppfs_cor_OtherNetPPE,http://www.xbrl.org/2003/arcrole/summation-item,3,1
50,arc,jppfs_cor_ShareholdersEquity,jppfs_cor_CapitalStock,http://www.xbrl.org/2003/arcrole/summation-item,1,1
51,arc,jppfs_cor_ShareholdersEquity,jppfs_cor_CapitalSurplus,http://www.xbrl.org/2003/arcrole/summation-item,2,1
52,arc,jppfs_cor_ShareholdersEquity,jppfs_cor_RetainedEarnings,http://www.xbrl.org/2003/arcrole/summation-item,3,1
