,arc_role,loc_label,xlink_label
0,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeGrossOperatingRevenues,label_AmountChangeGrossOperatingRevenues
1,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeGrossOperatingRevenues,label_AmountChangeGrossOperatingRevenues_2
2,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeGrossRevenuesUS,label_AmountChangeGrossRevenuesUS
3,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeGrossRevenuesUS,label_AmountChangeGrossRevenuesUS_2
4,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeIncomeTaxesUS,label_AmountChangeIncomeBeforeIncomeTaxesUS
5,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeIncomeTaxesUS,label_AmountChangeIncomeBeforeIncomeTaxesUS_2
6,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeIncomeTaxesUS,label_AmountChangeIncomeBeforeIncomeTaxesUS_3
7,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeIncomeTaxesUS,label_AmountChangeIncomeBeforeIncomeTaxesUS_4
8,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeMinorityInterestUS,label_AmountChangeIncomeBeforeMinorityInterestUS
9,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeMinorityInterestUS,label_AmountChangeIncomeBeforeMinorityInterestUS_2
10,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeMinorityInterestUS,label_AmountChangeIncomeBeforeMinorityInterestUS_3
11,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeBeforeMinorityInterestUS,label_AmountChangeIncomeBeforeMinorityInterestUS_4
12,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS,label_AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS
13,http://www.xbrl.org/2003/arcrole/concept-label,AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS,label_AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS_2
