,xlink_label,label
0,AmountChangeGrossOperatingRevenues,増減額
2,AmountChangeGrossRevenuesUS,増減額
4,AmountChangeIncomeBeforeIncomeTaxesUS,増減額
8,AmountChangeIncomeBeforeMinorityInterestUS,増減額
12,AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS,増減額
16,AmountChangeIncomeFromDiscontinuingOperationsBeforeIncomeTaxesUS,増減額
18,AmountChangeNetIncome,増減額
22,AmountChangeNetIncomeUS,増減額
26,AmountChangeNetOperatingRevenuesSE,増減額
28,AmountChangeNetPremiumsWrittenIN,増減額
30,AmountChangeNetSales,増減額
32,AmountChangeNetSalesAndOperatingRevenues,増減額
34,AmountChangeNetSalesAndOperatingRevenuesUS,増減額
36,AmountChangeNetSalesIFRS,増減額
38,AmountChangeNetSalesOfCompletedConstructionContracts,増減額
40,AmountChangeNetSalesUS,増減額
42,AmountChangeOperatingIncome,増減額
44,AmountChangeOperatingIncomeIFRS,増減額
46,AmountChangeOperatingIncomeUS,増減額
48,AmountChangeOperatingRevenues,増減額
50,AmountChangeOperatingRevenuesSE,増減額
52,AmountChangeOperatingRevenuesSpecific,増減額
54,AmountChangeOperatingRevenuesSpecificUS,増減額
56,AmountChangeOperatingRevenuesUS,増減額
58,AmountChangeOrdinaryIncome,増減額
60,AmountChangeOrdinaryRevenuesBK,増減額
62,AmountChangeOrdinaryRevenuesIN,増減額
64,AmountChangeProfitAttributableToOwnersOfParentIFRS,増減額
68,AmountChangeProfitBeforeTaxIFRS,増減額
70,AmountChangeProfitIFRS,増減額
74,AmountChangeRevenueIFRS,増減額
76,AmountChangeRevenuesUS,増減額
78,AmountChangeSalesIFRS,増減額
80,AmountChangeTotalRevenuesAfterDeductingFinancialExpenseUS,増減額
82,AmountChangeTotalRevenuesUS,増減額
84,AnnualDividendPaymentScheduleAxis,年間配当スケジュール
86,AnnualMember,年間
88,AnnualSecuritiesReportFilingDateAsPlanned,有価証券報告書提出予定日
