,xmlns_jpcrp_ymd,xlink_href,shema,label_for_join,loc_label
0,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeGrossOperatingRevenues,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeGrossOperatingRevenues,AmountChangeGrossOperatingRevenues
1,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeGrossRevenuesUS,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeGrossRevenuesUS,AmountChangeGrossRevenuesUS
2,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS,AmountChangeIncomeBeforeIncomeTaxesUS
3,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeMinorityInterestUS,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeIncomeBeforeMinorityInterestUS,AmountChangeIncomeBeforeMinorityInterestUS
4,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS,AmountChangeIncomeFromContinuingOperationsBeforeIncomeTaxesUS
5,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeFromDiscontinuingOperationsBeforeIncomeTaxesUS,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeIncomeFromDiscontinuingOperationsBeforeIncomeTaxesUS,AmountChangeIncomeFromDiscontinuingOperationsBeforeIncomeTaxesUS
6,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeNetIncome,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeNetIncome,AmountChangeNetIncome
7,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeNetIncomeUS,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeNetIncomeUS,AmountChangeNetIncomeUS
8,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeNetOperatingRevenuesSE,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeNetOperatingRevenuesSE,AmountChangeNetOperatingRevenuesSE
9,2014-01-12,tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeNetPremiumsWrittenIN,tse-ed-t-2014-01-12.xsd,tse-ed-t_AmountChangeNetPremiumsWrittenIN,AmountChangeNetPremiumsWrittenIN
