,type,from,to,arcrole,order,weight
0,arc,tse-at-t_AttachedDocumentHeading,jpcrp_cor_QuarterlyConsolidatedFinancialStatementsHeading,http://www.xbrl.org/2003/arcrole/parent-child,1,
1,arc,jpcrp_cor_QuarterlyConsolidatedFinancialStatementsHeading,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,http://www.xbrl.org/2003/arcrole/parent-child,1,
2,arc,jpcrp_cor_QuarterlyConsolidatedFinancialStatementsHeading,jppfs_cor_QuarterlyConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,http://www.xbrl.org/2003/arcrole/parent-child,2,
3,arc,jpcrp_cor_QuarterlyConsolidatedFinancialStatementsHeading,jppfs_cor_QuarterlyConsolidatedStatementOfCashFlowsHeading,http://www.xbrl.org/2003/arcrole/parent-child,3,
4,arc,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,jpcrp_cor_QuarterlyConsolidatedBalanceSheetTextBlock,http://www.xbrl.org/2003/arcrole/parent-child,1,
5,arc,jppfs_cor_QuarterlyConsolidatedStatementOfCashFlowsHeading,jpcrp_cor_QuarterlyConsolidatedStatementOfCashFlowsTextBlock,http://www.xbrl.org/2003/arcrole/parent-child,1,
6,arc,jppfs_cor_QuarterlyConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,jppfs_cor_YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,http://www.xbrl.org/2003/arcrole/parent-child,1,
7,arc,jppfs_cor_YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,jpcrp_cor_YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementTextBlock,http://www.xbrl.org/2003/arcrole/parent-child,1,
8,arc,jppfs_cor_BalanceSheetLineItems,jppfs_cor_AssetsAbstract,http://www.xbrl.org/2003/arcrole/parent-child,1,
9,arc,jppfs_cor_AssetsAbstract,jppfs_cor_CurrentAssetsAbstract,http://www.xbrl.org/2003/arcrole/parent-child,1,
10,arc,jppfs_cor_AssetsAbstract,jppfs_cor_NoncurrentAssetsAbstract,http://www.xbrl.org/2003/arcrole/parent-child,2,
